"4.1.1 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Connection, general"
"11000.1.2 " , "Process engineering " , "Pipeline part " , "Pipeline parts " , "Pipeline part, 1 connection point " , "Throttle plate, 1 connection point"
"11000.1.3 " , "Process engineering " , "Pipeline part " , "Pipeline parts " , "Pipeline part, 1 connection point " , "Dummy plate, 1 connection point"
"11000.1.4 " , "Process engineering " , "Pipeline part " , "Pipeline parts " , "Pipeline part, 1 connection point " , "Funnel, 1 connection point"
"11000.1.5 " , "Process engineering " , "Pipeline part " , "Pipeline parts " , "Pipeline part, 1 connection point " , "Outlet, 1 connection point"
"11000.1.6 " , "Process engineering " , "Pipeline part " , "Pipeline parts " , "Pipeline part, 1 connection point " , "Silencer, 1 connection point"
"11000.2.0 " , "Process engineering " , "Pipeline part " , "Pipeline parts " , "Pipeline part, 2 connection points " , "Piping part, general, 2 connection points"
"11000.2.1 " , "Process engineering " , "Pipeline part " , "Pipeline parts " , "Pipeline part, 2 connection points " , "Pipeline part, 2 connection points"
"11000.2.2 " , "Process engineering " , "Pipeline part " , "Pipeline parts " , "Pipeline part, 2 connection points " , "Sight glass, 2 connection points"
"11000.2.3 " , "Process engineering " , "Pipeline part " , "Pipeline parts " , "Pipeline part, 2 connection points " , "Silencer, 2 connection points"
"11000.2.4 " , "Process engineering " , "Pipeline part " , "Pipeline parts " , "Pipeline part, 2 connection points " , "Mixing nozzle, 2 connection points"
"11000.2.5 " , "Process engineering " , "Pipeline part " , "Pipeline parts " , "Pipeline part, 2 connection points " , "Dirt trap, 2 connection points"
"11000.2.6 " , "Process engineering " , "Pipeline part " , "Pipeline parts " , "Pipeline part, 2 connection points " , "Condensate drain, 2 connection points"
"11000.2.7 " , "Process engineering " , "Pipeline part " , "Pipeline parts " , "Pipeline part, 2 connection points " , "Flange pair, 2 connection points"
"11000.2.8 " , "Process engineering " , "Pipeline part " , "Pipeline parts " , "Pipeline part, 2 connection points " , "Reducer, 2 connection points"
"11000.2.9 " , "Process engineering " , "Pipeline part " , "Pipeline parts " , "Pipeline part, 2 connection points " , "Coupling, 2 connection points"
"11000.2.10 " , "Process engineering " , "Pipeline part " , "Pipeline parts " , "Pipeline part, 2 connection points " , "Siphon, 2 connection points"
"11000.98.1 " , "Process engineering " , "Pipeline part " , "Pipeline parts " , "Graphic " , "Graphic"
"11000.99.1 " , "Process engineering " , "Pipeline part " , "Pipeline parts " , "Pipeline part, variable " , "Pipeline part, variable"
"11100.1.1 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Crusher " , "Crusher, 2 connection points " , "Crusher, 2 connection points"
"11100.2.1 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Crusher " , "Crusher, 3 connection points " , "Crusher, 3 connection points"
"11100.98.1 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Crusher " , "Graphic " , "Graphic"
"11100.99.1 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Crusher " , "Crusher, variable " , "Crusher, variable"
"11101.1.0 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Former " , "Former, 2 connection points " , "Former, general, 2 connection points"
"11101.1.1 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Former " , "Former, 2 connection points " , "Former, 2 connection points"
"11101.1.2 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Former " , "Former, 2 connection points " , "Press, 2 connection points"
"11101.2.0 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Former " , "Former, 3 connection points " , "Former, general, 3 connection points"
"11101.2.1 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Former " , "Former, 3 connection points " , "Former, 3 connection points"
"11101.2.2 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Former " , "Former, 3 connection points " , "Press, 3 connection points"
"11101.98.1 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Former " , "Graphic " , "Graphic"
"11101.99.1 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Former " , "Former, variable " , "Former, variable"
"11102.1.1 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Metering hopper " , "Metering hopper, 2 connection points " , "Metering hopper, 2 connection points"
"11102.2.1 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Metering hopper " , "Metering hopper, 3 connection points " , "Metering hopper, 3 connection points"
"11102.98.1 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Metering hopper " , "Graphic " , "Graphic"
"11102.99.1 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Metering hopper " , "Metering hopper, variable " , "Metering hopper, variable"
"11103.1.1 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Sifter " , "Sifter, 2 connection points " , "Sifter, 2 connection points"
"11103.2.1 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Sifter " , "Sifter, 3 connection points " , "Sifter, 3 connection points"
"11103.98.1 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Sifter " , "Graphic " , "Graphic"
"11103.99.1 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Sifter " , "Sifter, variable " , "Sifter, variable"
"11104.1.1 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Sorter " , "Sorter, 2 connection points " , "Sorter, 2 connection points"
"11104.2.1 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Sorter " , "Sorter, 3 connection points " , "Sorter, 3 connection points"
"11104.98.1 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Sorter " , "Graphic " , "Graphic"
"11104.99.1 " , "Process engineering " , "Crusher, sifter, sorter, metering hopper " , "Sorter " , "Sorter, variable " , "Sorter, variable"
"11200.1.1 " , "Process engineering " , "Centrifuge " , "Centrifuge " , "Centrifuge, 2 connection points " , "Centrifuge, 2 connection points"
"11200.2.1 " , "Process engineering " , "Centrifuge " , "Centrifuge " , "Centrifuge, 3 connection points " , "Centrifuge, 3 connection points"
"11200.98.1 " , "Process engineering " , "Centrifuge " , "Centrifuge " , "Graphic " , "Graphic"
"11200.99.1 " , "Process engineering " , "Centrifuge " , "Centrifuge " , "Centrifuge, variable " , "Centrifuge, variable"
"11300.1.1 " , "Process engineering " , "Other part sections " , "Suspension " , "Suspension, 1 connection point " , "Suspension, 1 connection point"
"11300.2.1 " , "Process engineering " , "Other part sections " , "Suspension " , "Suspension, 2 connection points " , "Suspension, 2 connection points"
"11300.98.1 " , "Process engineering " , "Other part sections " , "Suspension " , "Graphic " , "Graphic"
"11300.99.1 " , "Process engineering " , "Other part sections " , "Suspension " , "Suspension, variable " , "Suspension, variable"
"11301.1.1 " , "Process engineering " , "Other part sections " , "Chimney " , "Chimney, 1 connection point " , "Chimney, 1 connection point"
"11301.2.1 " , "Process engineering " , "Other part sections " , "Chimney " , "Chimney, 2 connection points " , "Chimney, 2 connection points"
"11301.98.1 " , "Process engineering " , "Other part sections " , "Chimney " , "Graphic " , "Graphic"
"11301.99.1 " , "Process engineering " , "Other part sections " , "Chimney " , "Chimney, variable " , "Chimney, variable"
"11302.1.1 " , "Process engineering " , "Other part sections " , "Electrolysis cell " , "Electrolysis cell, 2 connection points " , "Electrolysis cell, 2 connection points"
"11302.2.1 " , "Process engineering " , "Other part sections " , "Electrolysis cell " , "Electrolysis cell, 3 connection points " , "Electrolysis cell, 3 connection points"
"11302.98.1 " , "Process engineering " , "Other part sections " , "Electrolysis cell " , "Graphic " , "Graphic"
"11302.99.1 " , "Process engineering " , "Other part sections " , "Electrolysis cell " , "Electrolysis cell, variable " , "Electrolysis cell, variable"
"11303.1.1 " , "Process engineering " , "Other part sections " , "Extraction hood " , "Extraction hood, 1 connection point " , "Extraction hood, 1 connection point"
"11303.2.1 " , "Process engineering " , "Other part sections " , "Extraction hood " , "Extraction hood, 2 connection points " , "Extraction hood, 2 connection points"
"11303.98.1 " , "Process engineering " , "Other part sections " , "Extraction hood " , "Graphic " , "Graphic"
"11303.99.1 " , "Process engineering " , "Other part sections " , "Extraction hood " , "Extraction hood, variable " , "Extraction hood, variable"
"11304.98.1 " , "Process engineering " , "Other part sections " , "Other " , "Graphic " , "Graphic"
"11304.99.1 " , "Process engineering " , "Other part sections " , "Other " , "Other (process engineering), variable " , "Other (process engineering), variable"
"11305.1.1 " , "Process engineering " , "Other part sections " , "Device connection point (process engineering) " , "Device connection point (process engineering) " , "Device connection point (process engineering)"
"11305.2.1 " , "Process engineering " , "Other part sections " , "Device connection point (process engineering) " , "Device connection point (process engineering), 2 connection points " , "Device connection point (process engineering), 2 connection points"
"11305.98.1 " , "Process engineering " , "Other part sections " , "Device connection point (process engineering) " , "Graphic " , "Graphic"
"11305.99.1 " , "Process engineering " , "Other part sections " , "Device connection point (process engineering) " , "Device connection point (process engineering), variable " , "Device connection point (process engineering), variable"
"11306.1.1 " , "Process engineering " , "Other part sections " , "Black box (process engineering) " , "Black box (process engineering) " , "Black box (process engineering)"
"11400.1.0 " , "Process engineering " , "Connection splicer / line connector, accessories " , "Connection splicer / line connector " , "Line connector, 2 connection points " , "Line connector, general"
"11400.1.1 " , "Process engineering " , "Connection splicer / line connector, accessories " , "Connection splicer / line connector " , "Line connector, 2 connection points " , "Line connector"
"11400.1.2 " , "Process engineering " , "Connection splicer / line connector, accessories " , "Connection splicer / line connector " , "Line connector, 2 connection points " , "Reducer"
"11400.1.3 " , "Process engineering " , "Connection splicer / line connector, accessories " , "Connection splicer / line connector " , "Line connector, 2 connection points " , "Compensator"
"11400.2.1 " , "Process engineering " , "Connection splicer / line connector, accessories " , "Connection splicer / line connector " , "Connection splicer, 3 connection points " , "Connection splicer, 3 connection points"
"11400.3.1 " , "Process engineering " , "Connection splicer / line connector, accessories " , "Connection splicer / line connector " , "Connection splicer, 4 connection points " , "Connection splicer, 4 connection points"
"11400.98.1 " , "Process engineering " , "Connection splicer / line connector, accessories " , "Connection splicer / line connector " , "Graphic " , "Graphic"
"11400.99.1 " , "Process engineering " , "Connection splicer / line connector, accessories " , "Connection splicer / line connector " , "Connection splicer, variable " , "Connection splicer, variable"
"11401.1.1 " , "Process engineering " , "Connection splicer / line connector, accessories " , "Accessories " , "Accessories, 1 connection point " , "Accessories"
"11401.98.1 " , "Process engineering " , "Connection splicer / line connector, accessories " , "Accessories " , "Graphic " , "Graphic"
"11401.99.1 " , "Process engineering " , "Connection splicer / line connector, accessories " , "Accessories " , "Accessories, variable " , "Accessories, variable"
"15000.1.1 " , "Mechanics " , "Enclosure system " , "Enclosure " , "Enclosure " , "Enclosure"
"15000.2.1 " , "Mechanics " , "Enclosure system " , "Enclosure " , "Body " , "Body"
"15000.3.1 " , "Mechanics " , "Enclosure system " , "Enclosure " , "Frame profile " , "Frame profile"
"15000.4.1 " , "Mechanics " , "Enclosure system " , "Enclosure " , "Profile " , "Profile"
"15100.1.1 " , "Mechanics " , "System accessories " , "Housings " , "Floor " , "Floor sheet"
"15100.1.2 " , "Mechanics " , "System accessories " , "Housings " , "Floor " , "Flange plate"
"15100.2.1 " , "Mechanics " , "System accessories " , "Housings " , "Top cover " , "Top module"
"15100.2.2 " , "Mechanics " , "System accessories " , "Housings " , "Top cover " , "Side panel for top module"
"15100.2.3 " , "Mechanics " , "System accessories " , "Housings " , "Top cover " , "Roof component"
